State,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine
KS,582 ,0 ,0 
UT,2887,468 ,0 
NY,1563,235 ,0 
FL,451 ,0 ,0 
NY,359 ,0 ,0 
IL,4464,4727,0 
NY,159080,87562,0 
MO,379 ,9 ,0 
VA,12155,9640,0 
FL,1416250,20720,0 
VA,0 ,105 ,0 
PA,0 ,107 ,0 
FL,0 ,273 ,0 
WA,0 ,6428,0 
CA,19577,13460,0 
NY,0 ,3400,0 
FL,1994,0 ,0 
WA,51 ,0 ,0 
MI,88 ,0 ,0 
CA,1162,2268,0 
NE,113 ,212 ,0 
MD,55335,36002,0 
MS,25 ,487 ,0 
CA,492 ,815 ,0 
WI,115878,455830,0 
NY,0 ,12064,0 
TX,0 ,235940,0 
NC,0 ,197 ,0 
UT,520 ,0 ,0 
NY,89567,12481,0 
CA,8767,2389,0 
IA,304 ,1004,0 
FL,0 ,1023,0 
MS,60584,8203,0 
TX,11103,2203,0 
KS,121 ,0 ,0 
OK,38153,12042,0 
TX,48618,18879,0 
FL,0 ,17196,0 
VA,208 ,328 ,0 
CA,75780,12795,0 
NE,0 ,447 ,0 
IL,0 ,2326,0 
WA,18663,1195,0 
TN,12322,3188,0 
MD,0 ,9265,0 
NJ,327 ,0 ,0 
WA,0 ,2139,0 
FL,0 ,19578,0 
GA,590 ,2269,0 
AR,20710,3165,0 
UT,0 ,316 ,0 
PA,226 ,1076,0 
NC,2560,801 ,0 
SC,3598,2945,0 
WI,2565,6557,0 
IL,295 ,522 ,0 
VA,964 ,89 ,0 
TX,752 ,11930,0 
FL,413 ,0 ,0 
OH,300 ,0 ,0 
WA,1111,661 ,0 
NY,0 ,4467,0 
OH,23 ,569 ,0 
WA,152 ,2076,0 
FL,698745,1052158,0 
MA,0 ,108 ,0 
GA,0 ,24296,0 
OK,186 ,120 ,0 
NC,114900,4600,0 
NJ,16014,2308,0 
KY,0 ,80 ,0 
GA,6212,65 ,0 
OH,285 ,0 ,0 
TX,0 ,65 ,0 
ID,525 ,87 ,0 
TX,11221,23 ,0 
OR,2140,744 ,0 
PA,121388,0 ,0 
NV,916 ,45064,0 
CA,131 ,0 ,0 
NC,89788,145848,0 
NY,41 ,10519,0 
NY,0 ,1033,0 
FL,9604,0 ,0 
GA,0 ,80 ,0 
WA,589 ,158 ,0 
AZ,0 ,91 ,0 
GA,70 ,141 ,0 
MS,98226,29237,0 
CA,1283,0 ,0 
TX,1575,1035193,0 
MS,58876,221672,0 
IL,450 ,327 ,0 
TX,0 ,4632,0 
MS,0 ,1639,0 
IN,514 ,323 ,0 
PA,56 ,18631,0 
VA,822 ,8030,0 
NY,0 ,239 ,0 
MN,863 ,1108,0 
SD,4773,3304,0 
PA,224 ,7069,0 
AL,118687,765449,0 
VA,52 ,0 ,0 
FL,0 ,81 ,0 
KY,2685,0 ,0 
MA,155 ,134 ,0 
CA,0 ,534 ,0 
CA,25 ,0 ,0 
MO,247338,5832,0 
FL,2575,0 ,0 
SC,5428,13443,0 
AL,0 ,258 ,0 
VA,583 ,0 ,0 
MO,1089,0 ,0 
IA,9 ,0 ,0 
TX,355742,42900,0 
MO,51 ,0 ,0 
GA,0 ,26 ,0 
NY,0 ,472 ,0 
TX,1089,0 ,0 
MN,379 ,191 ,0 
CA,2700,502 ,0 
MN,945 ,0 ,0 
NC,0 ,744 ,0 
CA,56 ,214 ,0 
AZ,547 ,75 ,0 
MA,628 ,6116,0 
MA,135 ,1960,0 
MI,3072,2130,0 
AZ,65 ,0 ,0 
CA,0 ,39783,0 
CA,609 ,53 ,0 
IL,97591,33817,0 
FL,46688,0 ,0 
CO,0 ,314 ,0 
FL,247 ,140 ,0 
NY,30233,2677,0 
FL,89373,1077,0 
NC,0 ,435 ,0 
TX,0 ,6692,0 
LA,0 ,11051,0 
NY,1823,13819,0 
NJ,0 ,14509,0 
WA,0 ,474 ,0 
CO,249 ,45 ,0 
LA,299 ,0 ,0 
NC,0 ,13573,0 
AR,485 ,52604,0 
FL,10074,1036,0 
GA,0 ,17 ,0 
FL,0 ,6610,0 
NJ,0 ,51160,0 
OK,19247,0 ,0 
LA,0 ,452 ,0 
NJ,2827617,32052,0 
MD,0 ,82 ,0 
CA,121 ,0 ,0 
MD,121321,950738,0 
NY,0 ,511 ,0 
AL,0 ,39779,0 
CA,17648,2825,0 
KS,20372,4986,0 
CO,0 ,492 ,0 
WA,1504,0 ,0 
CA,182 ,1022,0 
FL,6774,606 ,0 
TX,684407,4851092,0 
WA,0 ,25468,0 
MO,469 ,105 ,0 
GA,876500,1300,0 
WA,382 ,987 ,0 
PA,74 ,0 ,0 
TX,92752,327 ,0 
NY,32384,53507,0 
NY,871 ,5299,0 
CA,89500,28200,0 
UT,17947,4464,0 
CA,5172,0 ,0 
PA,74 ,88 ,0 
IL,115 ,1172,0 
TX,0 ,2452,0 
NC,94 ,0 ,0 
FL,0 ,19012,0 
CA,91241,36069,0 
FL,4312,212928,0 
WI,0 ,5032,0 
WA,240 ,0 ,0 
IL,0 ,6895,0 
NY,782 ,183 ,0 
MO,343625,55437,0 
VA,0 ,1367,0 
NJ,46753,103 ,0 
MA,14013,1652,0 
TN,1024,173 ,0 
IL,39745,385814,0 
NY,0 ,181 ,0 
GA,0 ,3759,0 
MI,157472,15747,0 
NY,0 ,495 ,0 
IL,380 ,0 ,0 
GA,0 ,37153,0 
CA,398 ,232 ,0 
GA,83572,44247,0 
VA,0 ,1547,0 
CA,57 ,85 ,0 
MS,4863,165 ,0 
NH,0 ,2494,0 
IL,0 ,44818,0 
NJ,0 ,509 ,0 
NC,7753,0 ,0 
IL,0 ,1351,0 
MI,314 ,124 ,0 
NY,0 ,253 ,0 
CA,94512,82392,0 
FL,83863,103 ,0 
NC,0 ,44 ,0 
FL,124494,283550,0 
TX,188 ,184 ,0 
TX,689250,5874888,0 
TX,444479,1516025,0 
MI,0 ,351 ,0 
OH,1405,0 ,0 
NE,775 ,2931,0 
FL,0 ,74 ,0 
IN,0 ,582 ,0 
IL,28171,38956,0 
LA,64261,10423,0 
ID,327 ,0 ,0 
DC,0 ,9872,0 
NY,27899,13374,0 
MN,10616,1749,0 
IL,0 ,10287,0 
TX,0 ,183215,0 
WI,225 ,125 ,0 
TX,0 ,25380,0 
NY,464 ,0 ,0 
MI,105 ,53367,0 
WI,5295,17256,0 
OK,49814,6533,0 
TX,0 ,886 ,0 
FL,93550,211194,0 
CA,10931,241 ,0 
WI,76750,77506,0 
CT,0 ,485 ,0 
CA,0 ,17144,0 
OH,0 ,168 ,0 
SD,63 ,0 ,0 
SC,87 ,84 ,0 
MA,1533,0 ,0 
CA,29 ,84 ,0 
MN,624 ,346 ,0 
GA,46 ,0 ,0 
NE,3826,32366,0 
MN,0 ,1028,0 
TX,78 ,401 ,0 
OR,180 ,0 ,0 
NJ,0 ,70040,0 
FL,171506,20988,0 
AL,132137,14243,0 
FL,0 ,16917,0 
FL,111391,29207,0 
MO,315 ,153 ,0 
CA,30876,121 ,0 
IA,49 ,0 ,0 
NV,0 ,373603,0 
AZ,4315486,335927,0 
VA,0 ,345 ,0 
NJ,30 ,1437,0 
MA,27 ,0 ,0 
OK,6538,1074,0 
VA,7555,28116,0 
NV,319496,0 ,0 
MA,0 ,620 ,0 
NC,2764,32040,0 
TX,0 ,240115,0 
MO,82319,43707,0 
TX,4778,68975,0 
NJ,88 ,0 ,0 
TN,0 ,143 ,0 
NJ,9074,5157,0 
AL,0 ,217 ,0 
DC,163 ,284 ,0 
FL,800 ,0 ,0 
SC,1724,401 ,0 
FL,242 ,53 ,0 
VA,489 ,51 ,0 
MO,199 ,150 ,0 
OK,0 ,219 ,0 
TN,0 ,491 ,0 
KY,180 ,0 ,0 
KS,3977,2158,0 
MA,6237,11610,0 
NC,0 ,587 ,0 
MN,0 ,752 ,0 
OR,1004,0 ,0 
MI,10097,515 ,0 
MN,1357,0 ,0 
NV,6414,1707,0 
CA,4106,630 ,0 
WA,55870,111597,0 
NJ,0 ,93104,0 
NJ,99746,66735,0 
NE,0 ,6833,0 
GA,0 ,115301,0 
NV,4304,1322,0 
MI,0 ,78 ,0 
IA,294 ,1562,0 
WA,27946,5970,0 
NE,0 ,318 ,0 
MA,323 ,0 ,0 
CT,0 ,85 ,0 
NC,426234,764410,0 
TX,0 ,172 ,0 
OH,17 ,90 ,0 
TX,21765,20107,0 
CO,537 ,0 ,0 
NY,151365,6971,0 
TX,0 ,13870,0 
IL,88 ,0 ,0 
NC,106078,14200,0 
OH,0 ,330646,0 
MA,9299,757 ,0 
IL,116 ,0 ,0 
IN,0 ,3618,0 
LA,0 ,9 ,0 
PA,1636,74 ,0 
TN,0 ,1454,0 
TX,25269,4391142,0 
VA,76 ,0 ,0 
CA,193851,1522323,0 
VA,171 ,0 ,0 
KS,36455,135008,0 
CA,29554,7668,0 
PA,23150,1045,0 
TN,0 ,2642,0 
NC,2788,89 ,0 
AZ,0 ,38 ,0 
NY,27356,2987,0 
IL,19050,6624,0 
NJ,0 ,1392,0 
RI,15542,2440,0 
AZ,60097,214389,0 
SC,1289,2725,0 
MI,43900,0 ,0 
MN,200 ,0 ,0 
PA,15746,1028,0 
SC,0 ,1112,0 
TX,398306,0 ,0 
LA,116 ,0 ,0 
OR,0 ,13973,0 
FL,120 ,0 ,0 
GA,0 ,101 ,0 
FL,92615,1517118,0 
MI,0 ,1275,0 
AZ,5924,2236,0 
CA,481 ,0 ,0 
KY,199 ,0 ,0 
WI,2173,2641,0 
TX,0 ,358 ,0 
TX,7127,0 ,0 
VT,126 ,0 ,0 
MO,93 ,33193,0 
TX,343 ,0 ,0 
NY,54224,1566,0 
FL,422257,1553568,0 
IL,24643,16859,0 
MD,0 ,640 ,0 
CT,8066,1629,0 
NJ,53004,1094232,0 
OH,6473,3114,0 
DC,2651,742 ,0 
TX,110 ,64 ,0 
SC,51180,1034,0 
NM,86296,16241,0 
OR,15338,1501,0 
NC,56044,13671,0 
AL,147265,23306,0 
AR,238 ,0 ,0 
FL,32856,45043,0 
AZ,0 ,241 ,0 
AL,18 ,0 ,0 
MI,66 ,665 ,0 
TN,0 ,1745,0 
