State,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine
KS,144455,21835,0 
TX,2574,3307,0 
NJ,9 ,9 ,0 
OR,43 ,0 ,0 
KY,1586,0 ,0 
TX,2797,351 ,0 
TX,2182,62 ,0 
AZ,75 ,107 ,0 
TX,4361,661 ,0 
TX,6251,394 ,0 
NY,76 ,0 ,0 
GA,26446,58449,0 
GA,6617,1223,0 
MO,66 ,0 ,0 
IA,0 ,2774,0 
MI,1115,0 ,0 
NY,7122,12786,0 
CO,0 ,3850,0 
NY,0 ,6015,0 
MD,696371,5592639,0 
CA,327 ,371 ,0 
TX,0 ,2047,0 
NJ,22 ,409 ,0 
ID,4810,70 ,0 
TX,0 ,30913,0 
IL,10662,2017,0 
OH,236806,207134,0 
KS,59459,10359,0 
NJ,10201,775 ,0 
TX,26575,0 ,0 
MO,0 ,898 ,0 
MN,0 ,323 ,0 
GA,0 ,4803,0 
PA,820 ,0 ,0 
ME,162 ,0 ,0 
TX,0 ,17740,0 
GA,680 ,0 ,0 
CA,45069,21238,0 
MI,132 ,217 ,0 
PA,17 ,26 ,0 
IN,0 ,511 ,0 
PA,0 ,232 ,0 
TN,0 ,8290,0 
TX,1205,4264,0 
OK,65440,3545,0 
CA,4337,534 ,0 
CA,56 ,0 ,0 
OH,146 ,62 ,0 
TX,44 ,0 ,0 
WI,724 ,140 ,0 
MD,112 ,3569,0 
CA,10937,60124,0 
VA,0 ,322 ,0 
NY,428 ,174 ,0 
NC,253906,516208,0 
MA,385 ,182 ,0 
NJ,0 ,25506,0 
ID,2109,103 ,0 
MI,13782,62328,0 
OH,0 ,703 ,0 
IL,233 ,19955,0 
MO,524042,1300,0 
AZ,153 ,621 ,0 
IL,44 ,0 ,0 
MS,46791,128452,0 
AZ,863 ,486 ,0 
IL,0 ,982 ,0 
AR,83131,31370,0 
NJ,0 ,2998,0 
GA,135589,239077,0 
DC,48065,1913,0 
IN,480 ,539 ,0 
TX,10 ,57 ,0 
TN,1181,81350,0 
CA,2375,136 ,0 
PA,0 ,1095,0 
PA,107 ,483 ,0 
DE,201 ,114 ,0 
NJ,27136,1060,0 
MA,0 ,925 ,0 
NJ,243 ,67871,0 
NV,3808,7024,0 
NY,15271,0 ,0 
MS,339 ,56070,0 
DC,6367,20389,0 
OK,158197,2903,0 
IA,0 ,125 ,0 
MI,0 ,3014,0 
WI,229 ,1961,0 
FL,4267,295 ,0 
NY,31466,103367,0 
NJ,107114,25344,0 
VA,3433,183 ,0 
OR,0 ,203 ,0 
IL,133 ,0 ,0 
NJ,0 ,363 ,0 
MA,46855,105609,0 
FL,1174,4713,0 
VA,0 ,11525,0 
CA,206 ,59 ,0 
TX,13243,18137,0 
IA,74 ,277 ,0 
OR,505 ,0 ,0 
PA,940 ,776 ,0 
WI,0 ,1835,0 
TX,0 ,226602,0 
GA,0 ,15518,0 
GA,109 ,1484,0 
CA,6062,0 ,0 
NY,0 ,61 ,0 
CT,0 ,46 ,0 
FL,11133,543 ,0 
VA,0 ,7262,0 
IL,534 ,0 ,0 
IL,5572,275 ,0 
CA,80 ,0 ,0 
WV,0 ,358 ,0 
MO,0 ,359 ,0 
IL,1295,3717,0 
MD,19488,24339,0 
GA,1864,1116,0 
MI,33388,7397,0 
OH,153012,1497,0 
IL,160 ,0 ,0 
SC,150 ,0 ,0 
FL,10404,303 ,0 
TX,0 ,14892,0 
NC,0 ,50 ,0 
CA,23 ,23 ,0 
WA,515 ,265 ,0 
CA,0 ,2624,0 
CA,65375,2652,0 
KY,0 ,74 ,0 
FL,0 ,40541,0 
IA,5238,661 ,0 
PA,0 ,310 ,0 
CA,19786,891 ,0 
NY,0 ,125 ,0 
NV,13732,772 ,0 
OK,735 ,120 ,0 
TN,0 ,799 ,0 
MO,360 ,0 ,0 
MA,17775,1263,0 
AR,181 ,0 ,0 
FL,5890,785 ,0 
VA,768 ,962 ,0 
AZ,523 ,74 ,0 
PA,242 ,130 ,0 
AZ,0 ,15319,0 
IN,1210,266 ,0 
TX,0 ,2770,0 
MN,207 ,209 ,0 
KY,23620,523 ,0 
NJ,0 ,464 ,0 
NJ,1083,4183,0 
PA,74 ,0 ,0 
TX,13747,1088,0 
GA,0 ,1018,0 
IL,1198,3609,0 
MA,174 ,181 ,0 
IL,0 ,265 ,0 
MA,621 ,3241,0 
NY,103 ,2074,0 
CA,0 ,5633,0 
CO,128 ,395 ,0 
TX,2524192,0 ,0 
IL,0 ,6754,0 
KY,645 ,1157,0 
FL,0 ,40 ,0 
UT,3394,4673,0 
OH,151 ,0 ,0 
KS,0 ,890 ,0 
AR,9368,650 ,0 
WI,119 ,135 ,0 
FL,0 ,58 ,0 
TX,22 ,35579,0 
CA,0 ,7834,0 
TX,0 ,25411,0 
IL,1802,1075,0 
MO,17575,3839,0 
IL,53517,4678,0 
PA,0 ,226 ,0 
TX,0 ,43381,0 
ME,28105,55424,0 
MN,100 ,0 ,0 
WI,45 ,36 ,0 
MT,723 ,495 ,0 
TN,58191,16015,0 
TX,368 ,0 ,0 
IL,2687380,5803,0 
NJ,0 ,3662,0 
IL,41 ,1255,0 
CT,82 ,0 ,0 
LA,5820,443 ,0 
SC,0 ,130 ,0 
IL,0 ,391 ,0 
SD,23 ,93 ,0 
MO,2689,12004,0 
MS,32536,0 ,0 
OH,547 ,305 ,0 
NJ,870 ,92570,0 
NY,35618,999 ,0 
IN,18957,36443,0 
AL,3952,1235,0 
OK,0 ,104 ,0 
AR,0 ,484 ,0 
MN,7687,2326,0 
CA,0 ,43 ,0 
TX,376 ,0 ,0 
FL,0 ,576 ,0 
SC,0 ,3698,0 
PA,200 ,197 ,0 
NC,98540,379142,0 
MI,857 ,0 ,0 
PA,5654,0 ,0 
FL,269850,0 ,0 
TN,142 ,12291,0 
NJ,124450,10830,0 
NC,4015,156 ,0 
GA,183400,400 ,0 
SC,48008,0 ,0 
TX,0 ,116 ,0 
AL,1114,164 ,0 
TX,0 ,105 ,0 
OK,5660,1043,0 
CA,519 ,450 ,0 
MN,26553,2450,0 
IA,3254,229 ,0 
KY,3968,0 ,0 
PA,0 ,1357,0 
NH,54100,4479,0 
LA,74 ,0 ,0 
PA,0 ,33 ,0 
TX,119963,47096,0 
TX,9 ,9624,0 
TX,287433,57335,0 
FL,298047,420254,0 
NJ,0 ,28689,0 
AR,1543,378 ,0 
MO,1032971,2099331,0 
AZ,3001,0 ,0 
MD,37780,26556,0 
CO,298 ,0 ,0 
MO,145 ,21 ,0 
TX,70326,717593,0 
TX,0 ,1532,0 
TX,291 ,2460,0 
WI,42 ,977 ,0 
NC,114050,10325,0 
PA,0 ,914 ,0 
IL,53597,15266,0 
MD,0 ,111 ,0 
KS,1543,103 ,0 
NY,1144773,28380,0 
NY,73 ,0 ,0 
NY,11228,5357,0 
IL,4842,144 ,0 
VA,13106,22307,0 
MA,232 ,0 ,0 
WA,19352,6429,0 
GA,115199,154 ,0 
NY,0 ,164 ,0 
TX,22 ,0 ,0 
OH,0 ,73 ,0 
MI,0 ,3850,0 
TX,11300,400 ,0 
WI,1048,691 ,0 
NJ,0 ,134 ,0 
DC,574 ,442 ,0 
NC,0 ,507 ,0 
CA,7348,5215,0 
TX,49025,9686,0 
MI,810 ,9255,0 
MA,774 ,480 ,0 
CA,822 ,573 ,0 
FL,197497,888899,0 
CA,40274,1665,0 
CA,26 ,3851,0 
CA,2241,1550,0 
MD,1637,485 ,0 
AL,0 ,109 ,0 
AZ,0 ,61742,0 
IA,100 ,0 ,0 
TN,919 ,478 ,0 
GA,96 ,0 ,0 
NC,308 ,116 ,0 
GA,26490,954 ,0 
NM,35659,3893,0 
FL,0 ,3251,0 
IN,393 ,929 ,0 
AR,7687,263 ,0 
TN,0 ,119 ,0 
CA,12753,3480,0 
TX,0 ,840 ,0 
FL,9 ,0 ,0 
AZ,2355,444 ,0 
MI,0 ,345 ,0 
MD,0 ,9613,0 
FL,45 ,0 ,0 
AZ,0 ,20 ,0 
TX,74 ,1423,0 
GA,750907,270619,0 
ME,49795,0 ,0 
WI,260 ,0 ,0 
IN,0 ,17301,0 
NJ,558 ,27244,0 
MN,6632,1210,0 
NJ,13721,24953,0 
CT,0 ,55 ,0 
IN,8 ,5740,0 
NY,0 ,408 ,0 
DC,648 ,1071,0 
GA,40641,9539,0 
TN,0 ,1012,0 
PA,154 ,0 ,0 
MO,900 ,0 ,0 
TX,64 ,0 ,0 
TX,0 ,2749,0 
IL,8382,7743,0 
WY,1090,631 ,0 
CA,0 ,19621,0 
KY,644 ,291 ,0 
CA,4970,2212,0 
IL,0 ,1496,0 
NY,8382,90 ,0 
CT,483 ,0 ,0 
NJ,0 ,2214,0 
CA,151519,107446,0 
DC,11319,13429,0 
MS,5890,3722,0 
MS,0 ,69156,0 
WY,224297,12594,0 
IL,0 ,327 ,0 
MN,200 ,0 ,0 
IL,178 ,0 ,0 
CA,572 ,366 ,0 
KY,752 ,0 ,0 
NY,202 ,0 ,0 
TN,34622,10080,0 
TX,77 ,2037,0 
SC,65 ,0 ,0 
WA,6110,181 ,0 
AZ,248 ,134 ,0 
IL,0 ,81 ,0 
NC,0 ,108553,0 
OK,2892,16316,0 
PA,1363,0 ,0 
IL,81 ,0 ,0 
MI,0 ,82 ,0 
AZ,51 ,0 ,0 
AR,42 ,4074,0 
OH,0 ,1605,0 
TN,385870,106379,0 
TX,0 ,118 ,0 
MO,70 ,0 ,0 
TX,0 ,250 ,0 
MI,9644,3582,0 
TN,0 ,837 ,0 
NY,0 ,3504,0 
NM,0 ,317 ,0 
MI,0 ,1959,0 
MN,310 ,0 ,0 
KY,10250,0 ,0 
NC,0 ,7713,0 
NY,317 ,18099,0 
NJ,0 ,649842,0 
TX,0 ,226758,0 
IL,286612,33739,0 
KS,6883,751 ,0 
TN,46566,20950,0 
TN,174 ,0 ,0 
NY,2599,207 ,0 
MO,126 ,0 ,0 
NE,85 ,73 ,0 
IN,25078,29528,0 
AR,0 ,49 ,0 
AZ,5009,139 ,0 
MA,51637,11354,0 
IL,894 ,180 ,0 
NJ,0 ,21 ,0 
SD,369 ,90 ,0 
CA,51430,5676,0 
IL,0 ,529 ,0 
GA,389 ,87 ,0 
TX,0 ,1414,0 
TX,0 ,10401,0 
PA,950 ,373 ,0 
AZ,126 ,0 ,0 
SC,0 ,72 ,0 
PA,44 ,0 ,0 
OK,1432,295 ,0 
CA,149 ,73 ,0 
FL,459 ,45 ,0 
NY,82 ,0 ,0 
WA,61234,375 ,0 
NE,0 ,241 ,0 
TX,0 ,86 ,0 
IA,7823,6070,0 
TN,0 ,71 ,0 
FL,0 ,10600,0 
GA,45477,135978,0 
NY,21053,1120117,0 
TX,13734,2042,0 
SD,517 ,569 ,0 
NY,4831,835 ,0 
MN,456 ,51 ,0 
OR,37837,6133,0 
IL,0 ,897 ,0 
OH,0 ,75 ,0 
MO,0 ,595 ,0 
CA,787 ,0 ,0 
NV,0 ,2251,0 
WA,0 ,7337,0 
IN,24131,18384,0 
WA,47 ,65 ,0 
AZ,2073,990 ,0 
TX,0 ,647 ,0 
NY,0 ,85 ,0 
CO,0 ,17036,0 
IN,39860,36033,0 
NE,147 ,71 ,0 
NY,6222,0 ,0 
TX,0 ,707 ,0 
TX,7354,1427,0 
MD,98995,553865,0 
CA,1932,739 ,0 
MN,1800,40157,0 
NV,111859,1600,0 
TN,292 ,6887,0 
CT,195 ,0 ,0 
MN,1380,0 ,0 
NJ,0 ,9083,0 
OH,0 ,10226,0 
MD,10317,0 ,0 
OH,18261,329 ,0 
WI,54370,2416,0 
CA,0 ,11 ,0 
SC,516 ,251 ,0 
WA,61681,220173,0 
MS,0 ,6470,0 
WI,39073,474 ,0 
FL,143 ,1862,0 
TX,289 ,464 ,0 
AR,169 ,0 ,0 
WY,0 ,179 ,0 
TX,0 ,110 ,0 
FL,657 ,484 ,0 
CA,16388,5220,0 
WI,110 ,0 ,0 
TX,0 ,48500,0 
IL,103 ,0 ,0 
NY,0 ,10457,0 
MA,0 ,153 ,0 
WA,1210,0 ,0 
GA,12454,78328,0 
IN,41871,224449,0 
TX,0 ,1125,0 
FL,260 ,123127,0 
CA,100781,5604,0 
KS,1270,0 ,0 
MD,0 ,4243,0 
TX,774111,3601043,0 
WA,1478,81 ,0 
WA,1900,0 ,0 
TX,1840,885 ,0 
CA,0 ,26860,0 
NJ,0 ,30409,0 
IL,0 ,220403,0 
OH,0 ,5379,0 
CA,41058,21104,0 
NC,4974,1592,0 
CA,1074,1586,0 
FL,2369,372 ,0 
OK,61 ,411 ,0 
PA,0 ,221 ,0 
CA,0 ,5299,0 
NJ,0 ,7088,0 
MN,270 ,0 ,0 
MS,24249,785 ,0 
NJ,0 ,17485,0 
TX,15058,88350,0 
OR,61 ,0 ,0 
NC,0 ,54 ,0 
NC,5336,278 ,0 
IA,0 ,3033,0 
CA,16895,21335,0 
TX,0 ,113 ,0 
VA,1522,434 ,0 
ID,116193,677155,0 
MN,207 ,0 ,0 
CA,0 ,769 ,0 
CA,2428,109 ,0 
MD,25254,1169,0 
NJ,82 ,147 ,0 
PA,38 ,0 ,0 
CO,1042,178 ,0 
TX,15191,17764,0 
KY,117324,86604,0 
VA,6306,218 ,0 
SC,5143,3347,0 
NY,1368,90 ,0 
MO,73117,123143,0 
TX,5410850,8752,0 
AZ,108 ,108 ,0 
SC,235411,269828,0 
PA,250 ,0 ,0 
WI,682 ,1260,0 
IL,132 ,22 ,0 
CO,8475,4591,0 
GA,0 ,6222,0 
ID,1604,1002,0 
IL,320 ,0 ,0 
NC,1506,45 ,0 
PA,154 ,0 ,0 
NM,84953,177406,0 
TX,313 ,387 ,0 
CA,47542,9056,0 
CA,1667,0 ,0 
FL,16541,1337,0 
CA,126 ,0 ,0 
NY,0 ,175 ,0 
NC,65464,800 ,0 
TX,16524,12144,0 
TN,6717,785 ,0 
IN,64569,34105,0 
CA,0 ,5087,0 
AZ,0 ,1384,0 
NY,281330,0 ,0 
MN,21648,12972,0 
NY,18227,1011,0 
NC,10245,5790,0 
TX,0 ,75 ,0 
TX,0 ,20384,0 
NJ,0 ,2165,0 
NC,2020,0 ,0 
MN,409 ,0 ,0 
FL,0 ,148 ,0 
IL,0 ,3231,0 
TX,90 ,0 ,0 
NY,1364273,211596,0 
GA,102328,0 ,0 
FL,0 ,27841,0 
AZ,114068,705105,0 
MO,1586,465 ,0 
KY,5346,69736,0 
AR,65966,1708,0 
WI,44 ,0 ,0 
IA,0 ,173 ,0 
DE,11883,2587,0 
NJ,0 ,517 ,0 
ND,3098,964 ,0 
OR,0 ,5220,0 
TX,0 ,9059,0 
VA,769 ,142 ,0 
FL,59399,60944,0 
MO,872 ,381 ,0 
IL,0 ,2844,0 
MD,248 ,0 ,0 
NV,0 ,24135,0 
TX,121 ,0 ,0 
TX,37418,6712,0 
NY,5400,0 ,0 
NJ,1305,82 ,0 
LA,3831,8581,0 
GA,0 ,1765,0 
VA,1395,487 ,0 
MI,54 ,0 ,0 
DE,0 ,14392,0 
IN,76 ,99 ,0 
IL,324 ,45 ,0 
CA,0 ,10946,0 
NC,1974,1663,0 
TX,568 ,214 ,0 
CA,4831,20580,0 
SD,5107,11518,0 
NJ,24383,2403,0 
LA,0 ,9313,0 
VA,76 ,0 ,0 
SD,361 ,74 ,0 
GA,0 ,23199,0 
NC,4250,19913,0 
CA,24018,24420,0 
GA,158267,278 ,0 
IL,27471,7068,0 
MO,8902,69090,0 
WA,7135,76 ,0 
NY,72709,4302,0 
MA,87131,40830,0 
NJ,3781,2885,0 
GA,70 ,428 ,0 
NY,331 ,0 ,0 
IL,0 ,34340,0 
CA,5188,2430,0 
NJ,50 ,123318,0 
MD,0 ,6452,0 
NJ,0 ,788 ,0 
PA,0 ,217 ,0 
OH,108 ,0 ,0 
CA,39774,15567,0 
LA,3818,2769,0 
NY,0 ,2337,0 
GA,44041,1662946,0 
TX,16916,70522,0 
TX,0 ,236 ,0 
VA,1649,0 ,0 
MS,0 ,188 ,0 
TX,157 ,206 ,0 
GA,2154,325 ,0 
TX,48 ,522 ,0 
TX,0 ,18195,0 
LA,0 ,930 ,0 
CA,0 ,1340,0 
FL,364704,52434,0 
IL,220897,24161,0 
TX,0 ,6557,0 
TX,20398,1116,0 
NJ,30 ,177 ,0 
MI,9461,704 ,0 
SC,191 ,281 ,0 
IL,0 ,1123,0 
NC,62 ,258 ,0 
NC,5575,421 ,0 
OH,4842,1010,0 
FL,48 ,0 ,0 
TN,103 ,371 ,0 
AZ,344808,48915,0 
OH,68439,18509,0 
TN,0 ,63 ,0 
IL,877 ,305 ,0 
KY,0 ,842 ,0 
CA,139512,27000,0 
IL,52479,9689,0 
IA,1268,76 ,0 
UT,0 ,1037,0 
OH,392 ,152 ,0 
KS,11175,481 ,0 
MN,754 ,0 ,0 
MN,1861,782 ,0 
FL,18096,1409,0 
VA,1952,3375,0 
CA,0 ,26654,0 
CA,17409,6752,0 
ID,6950,1673,0 
PA,1193,1275,0 
TX,252 ,0 ,0 
IN,207 ,0 ,0 
TN,12267,335 ,0 
WA,18522,242696,0 
MA,0 ,15806,0 
WI,1383,89080,0 
NE,0 ,48 ,0 
AZ,9664,2098,0 
MN,130772,59525,0 
AZ,502800,0 ,0 
GA,7595,315 ,0 
OH,13071,99589,0 
AL,0 ,101 ,0 
NY,7799,6787,0 
MN,0 ,7406,0 
MO,0 ,3782,0 
AZ,0 ,521 ,0 
NC,5647,1678,0 
KY,0 ,586 ,0 
OR,96 ,0 ,0 
AL,368 ,51 ,0 
PA,55 ,0 ,0 
MA,336 ,115 ,0 
AZ,159 ,97 ,0 
CA,8141,1487,0 
NY,244573,6252,0 
SC,61 ,0 ,0 
VA,31690,3103,0 
FL,0 ,116 ,0 
FL,9547,33265,0 
LA,0 ,113 ,0 
KY,355 ,0 ,0 
CT,55 ,0 ,0 
TX,0 ,1930,0 
PA,228 ,28871,0 
TX,103 ,0 ,0 
WA,1802,650 ,0 
NJ,0 ,459 ,0 
VA,4750,60712,0 
NJ,0 ,452 ,0 
OH,0 ,43033,0 
IL,248 ,387 ,0 
FL,119093,7739,0 
CO,14972,197907,0 
NC,2532,1479,0 
WI,11794,1534,0 
TN,1595,112 ,0 
TX,151643,607676,0 
TX,0 ,5187,0 
TX,0 ,467 ,0 
MA,0 ,389 ,0 
FL,66574,101923,0 
OK,0 ,606 ,0 
OR,1030,113 ,0 
FL,6384,2688,0 
CT,467 ,82 ,0 
CA,138 ,0 ,0 
NJ,138 ,184 ,0 
TN,42 ,0 ,0 
CA,5679,5531,0 
NC,63280,25657,0 
MD,0 ,12284,0 
TX,20 ,95 ,0 
GA,0 ,11 ,0 
MA,3830,23 ,0 
NJ,50 ,564 ,0 
IL,0 ,1335,0 
RI,0 ,95124,0 
AR,181 ,862 ,0 
ND,3336,6808,0 
NC,0 ,19030,0 
CA,2737,0 ,0 
TX,126 ,0 ,0 
WA,0 ,113 ,0 
PA,21797,4197,0 
WV,0 ,357 ,0 
MA,637 ,0 ,0 
FL,0 ,215 ,0 
NY,96 ,0 ,0 
MA,94 ,3453,0 
NC,0 ,252 ,0 
CA,12600,0 ,0 
NC,314 ,408 ,0 
KS,0 ,694 ,0 
PA,3761,1105,0 
TX,1095,746 ,0 
MS,55849,1536,0 
KS,0 ,2209,0 
UT,27095,355975,0 
TX,174 ,1541,0 
AK,672 ,771 ,0 
FL,23 ,0 ,0 
IN,1209,11701,0 
GA,41347,16195,0 
WI,447 ,134 ,0 
FL,0 ,1423,0 
NY,649 ,3511,0 
NC,79223,263714,0 
PA,0 ,574 ,0 
IL,7663,598 ,0 
NY,1085,2613,0 
MA,87402,1702250,0 
IL,0 ,10542,0 
NV,0 ,425 ,0 
MI,124667,336822,0 
GA,76 ,83250,0 
MA,25907,6146,0 
WI,765 ,0 ,0 
GA,0 ,183 ,0 
IN,393 ,27885,0 
OR,2821,627 ,0 
PA,0 ,3371,0 
TX,0 ,544 ,0 
KY,0 ,585 ,0 
VA,0 ,1721,0 
CA,342 ,0 ,0 
TX,0 ,287 ,0 
NY,625 ,0 ,0 
FL,619116,3699559,0 
IN,23113,2558,0 
ID,1587,1321,0 
NC,134 ,738 ,0 
GA,840 ,53290,0 
TX,2727,1179,0 
IL,0 ,108016,0 
MA,351 ,0 ,0 
SD,4662,81 ,0 
NY,0 ,1234,0 
TX,0 ,24550,0 
TX,0 ,457 ,0 
TN,0 ,463 ,0 
SD,9492,1767,0 
WY,15437,7112,0 
NY,0 ,3712,0 
NC,141 ,0 ,0 
NJ,0 ,3364,0 
MA,18265,4680,0 
IL,95 ,0 ,0 
TX,0 ,10759,0 
RI,0 ,25989,0 
NY,26891,1719,0 
OR,62 ,62 ,0 
TN,36 ,0 ,0 
MI,108 ,380 ,0 
VA,2132,400 ,0 
NY,0 ,775 ,0 
NJ,0 ,301 ,0 
CA,1181,0 ,0 
NJ,0 ,885 ,0 
MS,57512,30855,0 
MS,2769,0 ,0 
TX,0 ,3062,0 
MO,0 ,70 ,0 
NJ,0 ,115 ,0 
LA,39177,263918,0 
WA,0 ,51 ,0 
MD,218 ,0 ,0 
WI,4642,2148,0 
LA,164 ,0 ,0 
MI,3697,77 ,0 
KY,2955,0 ,0 
WI,0 ,485 ,0 
NE,1205,0 ,0 
PA,0 ,3980,0 
OH,62 ,0 ,0 
TX,154 ,0 ,0 
NC,1502,0 ,0 
TX,26730,25728,0 
TX,6379,1551,0 
MS,0 ,10408,0 
TX,0 ,136 ,0 
FL,30388,0 ,0 
NY,0 ,1605,0 
VA,785 ,371 ,0 
AZ,3654,348 ,0 
PA,2347,45 ,0 
CA,4612,1665,0 
CA,157 ,478 ,0 
MS,172 ,0 ,0 
MO,0 ,50827,0 
IL,0 ,117 ,0 
FL,164 ,0 ,0 
ID,85 ,0 ,0 
TX,230 ,0 ,0 
NC,314598,0 ,0 
NJ,0 ,491 ,0 
IL,813 ,2624,0 
KS,0 ,174 ,0 
IL,40837,4288,0 
NY,0 ,94 ,0 
NJ,0 ,13356,0 
NJ,0 ,435 ,0 
CT,1033,0 ,0 
MA,5624,371 ,0 
CA,18289,6023,0 
IN,0 ,807 ,0 
OK,0 ,9156,0 
IL,0 ,11666,0 
VA,0 ,179 ,0 
GA,0 ,11 ,0 
GA,0 ,2136,0 
MO,12616,52330,0 
GA,0 ,1952,0 
TX,0 ,496 ,0 
MI,9809,3290,0 
CO,1149173,2941098,0 
WI,7059,166745,0 
IL,47 ,0 ,0 
FL,162 ,0 ,0 
PA,21620,203717,0 
TN,0 ,7985,0 
MS,1490,3093,0 
UT,1354,1024,0 
NY,0 ,456 ,0 
DE,96226,265247,0 
IA,145 ,0 ,0 
IN,949 ,172 ,0 
AR,318 ,59 ,0 
CA,81517,2575,0 
NJ,22 ,30 ,0 
NE,16168,788 ,0 
NC,529 ,292 ,0 
OH,0 ,4051,0 
TX,18 ,873 ,0 
VA,451 ,1903,0 
GA,202961,1728204,0 
FL,45 ,0 ,0 
TX,45 ,1110,0 
TX,6234600,35486,0 
IN,0 ,1075,0 
FL,4488,677 ,0 
PA,12299,47929,0 
TX,0 ,245794,0 
MA,0 ,650 ,0 
CO,0 ,237 ,0 
CT,238546,1144825,0 
CA,53 ,0 ,0 
VA,335202,3075142,0 
NV,0 ,63353,0 
MI,0 ,633 ,0 
CA,0 ,199 ,0 
ND,51 ,0 ,0 
NC,508 ,4609,0 
DC,97437,137386,0 
NE,425 ,0 ,0 
NY,0 ,4640,0 
MO,26655,2405,0 
OK,0 ,6669,0 
TX,795 ,0 ,0 
TX,7145,3799,0 
TX,0 ,30676,0 
NY,0 ,8118,0 
WA,20920,5111,0 
IN,0 ,655 ,0 
OH,11 ,0 ,0 
KS,20042,186 ,0 
CA,770 ,2345,0 
LA,3816,1209,0 
MI,122 ,0 ,0 
CA,1095,0 ,0 
TX,4144,536 ,0 
CA,0 ,157 ,0 
MD,3356,2036,0 
NC,1871,182 ,0 
IN,28097,11748,0 
MN,42295,16101,0 
FL,0 ,94816,0 
NJ,0 ,360 ,0 
CA,443 ,0 ,0 
OR,1554,98 ,0 
TX,0 ,12851,0 
NC,51 ,0 ,0 
AZ,19975,9025,0 
NC,218 ,0 ,0 
VA,0 ,19445,0 
OH,112 ,43 ,0 
OK,256693,528902,0 
GA,18715,104606,0 
GA,148577,175 ,0 
PA,0 ,9 ,0 
TN,0 ,603 ,0 
CA,136 ,113 ,0 
PA,130 ,55 ,0 
KY,36 ,97 ,0 
IL,0 ,44011,0 
NC,2590,477 ,0 
IL,2008,6722,0 
NY,73 ,0 ,0 
MA,87 ,83 ,0 
TX,83854,0 ,0 
UT,26299,181952,0 
KY,118 ,351 ,0 
NE,0 ,8978,0 
GA,0 ,8 ,0 
TN,747111,1695606,0 
WA,163453,186132,0 
CO,17744,48686,0 
OH,922 ,499 ,0 
TX,37 ,526 ,0 
MI,42073,328093,0 
MA,0 ,540 ,0 
TX,19491,153867,0 
NY,299 ,148 ,0 
FL,0 ,15501,0 
OH,258 ,189 ,0 
VA,0 ,2288,0 
NJ,123 ,0 ,0 
IL,1833,2399,0 
CO,23828,0 ,0 
MI,476 ,0 ,0 
VA,277 ,0 ,0 
TX,765400,4665632,0 
OK,18529,1326,0 
NY,140 ,0 ,0 
ME,99 ,389 ,0 
MO,0 ,8427,0 
NH,268 ,0 ,0 
IA,3375,1540,0 
NC,3755,330 ,0 
MA,0 ,1370,0 
FL,0 ,24015,0 
TN,178 ,0 ,0 
CA,0 ,12154053,0 
VA,267 ,0 ,0 
MA,8723,145 ,0 
NY,0 ,265 ,0 
NJ,208 ,4404,0 
IL,1235,1339,0 
TX,1178400,1833045,0 
FL,53 ,712 ,0 
MO,0 ,14873,0 
WA,402 ,0 ,0 
NC,429 ,805 ,0 
LA,4612,14051,0 
NC,0 ,20 ,0 
PA,1420,0 ,0 
UT,0 ,528 ,0 
CO,47 ,4090,0 
OH,22 ,1301,0 
OH,38 ,19 ,0 
CA,0 ,1519,0 
AK,2304,80 ,0 
AR,21260,1472,0 
IL,235 ,27 ,0 
VA,1756,1048,0 
GA,46 ,0 ,0 
IL,2016,0 ,0 
PA,19736,4504,0 
MA,105 ,0 ,0 
TX,2754,174184,0 
OH,26 ,0 ,0 
TX,0 ,269 ,0 
NC,1905,0 ,0 
CO,720 ,0 ,0 
FL,35340,15496,0 
OK,64402,15644,0 
FL,0 ,81 ,0 
NM,87 ,675 ,0 
FL,0 ,2610,0 
NH,560 ,191 ,0 
CO,0 ,14112,0 
OH,123 ,0 ,0 
TX,39664,5237,0 
MS,38463,131506,0 
UT,388876,1470899,0 
FL,128 ,0 ,0 
CA,8889,3169,0 
MA,633 ,365 ,0 
NJ,408 ,449 ,0 
MS,1630,59 ,0 
IL,7520,8050,0 
MN,254 ,537 ,0 
NV,865 ,0 ,0 
MO,332 ,120 ,0 
NY,459 ,111 ,0 
MD,349 ,59 ,0 
LA,334 ,2896,0 
GA,0 ,271 ,0 
OH,56 ,0 ,0 
PA,15287,11030,0 
TX,3973,6862,0 
TX,0 ,14671,0 
ME,0 ,165 ,0 
MN,428 ,64 ,0 
CO,84616,4779,0 
TX,373503,87900,0 
MN,444 ,274 ,0 
CA,0 ,2604,0 
OH,678 ,0 ,0 
IL,1234341,308846,0 
WY,455 ,1045,0 
NJ,0 ,35345,0 
VA,0 ,3213,0 
TX,1055,3496,0 
OK,11228,1746,0 
FL,0 ,128 ,0 
TX,0 ,1060,0 
KS,11457,0 ,0 
NV,46723,19431,0 
NY,0 ,659 ,0 
MI,0 ,1524,0 
WA,190 ,0 ,0 
AL,8 ,0 ,0 
GA,173 ,247 ,0 
ID,169899,500639,0 
TX,49348,528567,0 
TX,0 ,190497,0 
NC,0 ,26403,0 
NY,237 ,0 ,0 
NY,4038,164 ,0 
CA,21127,37263,0 
